branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2022-11 (November)","2022-10 (October)","2022-09 (September)","2022-08 (August)","2022-07 (July)","2022-06 (June)","2022-05 (May)","2022-04 (April)","2022-03 (March)","2022-02 (February)","2022-01 (January)","2021-12 (December)","Previous 12 calendar months"
"Atchison Public Library",566,596,591,648,669,749,605,568,579,509,537,535,1850
"Baldwin City Public Library",298,312,331,351,372,409,327,305,313,265,258,254,1019
"Basehor Community Library",844,925,897,1034,1072,1119,899,831,885,806,827,750,2733
"Bern Community Library",12,19,24,33,29,32,17,22,19,12,15,21,61
"Bonner Springs City Library",630,660,641,721,800,806,605,561,617,561,583,564,2199
"Burlingame Community Library",101,108,108,105,85,79,64,69,73,66,72,78,273
"Carbondale City Library",100,109,112,123,120,126,108,103,124,93,104,99,369
"Centralia Community Library",46,39,44,45,48,67,40,40,44,35,33,35,108
"Corning City Library",7,3,6,7,13,42,4,9,3,1,6,4,51
"Digital Content",,,,,,,,,,,,,1
"Doniphan County Library - Elwood",23,19,21,31,26,26,27,17,26,16,20,23,104
"Doniphan County Library - Highland",52,54,48,69,62,68,61,50,45,46,41,44,175
"Doniphan County Library - Troy",121,162,145,154,160,146,116,115,117,96,96,93,431
"Doniphan County Library - Wathena",57,62,57,63,66,84,65,65,64,53,63,43,206
"Effingham Community Library",37,40,44,41,46,46,28,28,27,23,29,30,98
"Eudora Community Library",203,215,237,239,257,247,237,183,189,177,186,180,631
"Everest, Barnes Reading Room",23,27,29,19,19,22,22,22,22,23,22,22,68
"Hiawatha, Morrill Public Library",284,310,308,354,359,363,332,297,333,279,274,281,942
"Highland Community College",26,39,50,27,4,7,14,13,20,13,9,13,147
"Holton, Beck-Bookman Library",353,366,362,408,364,419,365,354,371,338,353,330,1192
"Horton Public Library",35,32,28,54,43,39,26,22,23,28,24,27,172
"Lansing Community Library",295,311,370,419,430,443,337,309,321,205,322,281,1173
"Leavenworth Public Library",966,1043,978,1181,1148,1084,940,940,1015,888,842,904,3403
"Linwood Community Library",67,73,77,78,93,103,97,84,81,66,62,85,298
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",102,111,97,120,114,127,112,104,102,90,94,106,318
"McLouth Public Library",38,41,51,38,42,59,43,41,43,40,36,46,169
"Meriden-Ozawkie Public Library",191,182,192,213,222,285,231,192,196,184,192,190,556
"Northeast Kansas Library System",14,9,8,21,35,14,10,11,9,14,10,11,87
"Nortonville Public Library",41,33,38,55,54,69,49,34,42,38,31,38,160
"Osage City Library",287,289,297,297,319,344,312,287,298,272,268,272,880
"Osawatomie Public Library",218,210,224,267,258,268,222,239,228,262,291,244,769
"Oskaloosa Public Library",145,164,152,157,165,174,146,147,142,130,143,145,444
"Ottawa Library",723,779,783,900,943,984,788,665,751,647,640,615,2494
"Overbrook Public Library",131,146,153,165,180,181,155,136,150,144,139,139,423
"Paola Free Library",474,480,522,556,609,590,483,403,415,373,383,360,1625
"Perry-Lecompton Community Library",15,20,21,24,48,63,28,19,18,18,19,13,100
"Pomona Community Library",25,20,26,24,30,32,22,26,37,27,28,24,123
"Prairie Hills Schools - Axtell Public School",118,122,114,140,,1,51,99,96,88,132,87,205
"Prairie Hills Schools - Sabetha Elementary School",361,363,381,367,,,6,328,333,356,362,342,500
"Prairie Hills Schools - Sabetha High School",11,20,41,43,,,4,14,25,71,48,10,168
"Prairie Hills Schools - Sabetha Middle School",113,99,115,148,,,19,84,68,59,98,53,226
"Prairie Hills Schools - Wetmore Academic Center",81,84,72,67,,,8,86,86,93,89,70,145
"Richmond Public Library",37,40,38,40,41,51,40,48,43,40,37,39,100
"Rossville Community Library",214,220,206,235,229,238,234,212,207,187,193,184,581
"Sabetha, Mary Cotton Library",284,280,298,329,309,340,309,274,295,279,271,255,785
"Seneca Free Library",229,233,243,313,343,368,331,253,274,250,234,216,808
"Silver Lake Library",191,198,212,224,209,212,201,180,181,167,174,171,437
"Tonganoxie Public Library",473,500,499,595,628,645,556,472,486,406,409,407,1730
"Valley Falls, Delaware Township Library",67,73,77,82,74,79,72,70,69,56,63,67,233
"Wellsville City Library",169,208,183,200,198,217,224,150,168,150,137,143,526
"Wetmore Public Library",23,33,35,33,30,42,50,25,31,23,22,28,101
"Williamsburg Community Library",50,35,37,42,43,49,33,38,38,26,30,29,149
"Winchester Public Library",46,50,52,55,62,73,71,63,67,63,65,56,220
