branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2023-07 (July)","2023-06 (June)","2023-05 (May)","2023-04 (April)","2023-03 (March)","2023-02 (February)","2023-01 (January)","2022-12 (December)","2022-11 (November)","2022-10 (October)","2022-09 (September)","2022-08 (August)","Previous 12 calendar months"
"Atchison Public Library",654,708,585,566,560,543,584,512,566,596,591,648,1865
"Baldwin City Public Library",387,423,381,312,314,306,301,278,298,312,331,351,1065
"Basehor Community Library",1145,1158,1004,893,1010,874,878,816,844,925,897,1034,2943
"Bern Community Library",24,30,15,16,18,18,18,17,12,19,24,33,61
"Bonner Springs City Library",834,837,702,697,744,683,671,579,630,660,641,721,2392
"Burlingame Community Library",68,100,85,93,90,98,84,108,101,108,108,105,291
"Carbondale City Library",120,142,115,106,111,99,113,115,100,109,112,123,357
"Centralia Community Library",66,72,53,45,47,42,38,45,46,39,44,45,112
"Corning City Library",6,39,6,10,7,12,2,3,7,3,6,7,51
"Digital Content",,,,,,1,,,,,,,1
"Doniphan County Library - Elwood",28,30,9,19,25,16,21,23,23,19,21,31,102
"Doniphan County Library - Highland",53,61,58,54,54,51,51,47,52,54,48,69,171
"Doniphan County Library - Troy",144,145,116,114,119,120,122,140,121,162,145,154,464
"Doniphan County Library - Wathena",65,58,51,60,61,51,54,57,57,62,57,63,193
"Effingham Community Library",47,49,61,37,20,43,36,45,37,40,44,41,130
"Eudora Community Library",253,285,258,248,219,193,202,175,203,215,237,239,730
"Everest, Barnes Reading Room",24,25,25,24,23,18,17,20,23,27,29,19,75
"Hiawatha, Morrill Public Library",348,364,314,278,311,296,284,253,284,310,308,354,933
"Highland Community College",3,3,9,10,12,16,13,18,26,39,50,27,116
"Holton, Beck-Bookman Library",358,402,389,342,344,336,325,297,353,366,362,408,1183
"Horton Public Library",24,27,33,31,37,45,41,30,35,32,28,54,195
"Lansing Community Library",441,495,359,333,377,331,312,307,295,311,370,419,1314
"Leavenworth Public Library",1174,1207,1112,1084,1190,1094,1112,903,966,1043,978,1181,3746
"Linwood Community Library",105,115,93,70,85,85,76,71,67,73,77,78,281
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",104,126,85,85,102,94,97,79,102,111,97,120,318
"McLouth Public Library",45,43,40,36,40,30,32,36,38,41,51,38,172
"Meriden-Ozawkie Public Library",234,267,244,167,192,180,204,166,191,182,192,213,582
"Northeast Kansas Library System",16,11,11,11,16,13,11,9,14,9,8,21,72
"Nortonville Public Library",59,68,57,45,49,49,45,39,41,33,38,55,182
"Osage City Library",350,370,373,290,322,298,307,263,287,289,297,297,921
"Osawatomie Public Library",252,276,225,211,246,231,236,213,218,210,224,267,761
"Oskaloosa Public Library",163,177,152,144,160,138,136,139,145,164,152,157,473
"Ottawa Library",1002,1043,871,762,854,827,790,659,723,779,783,900,2722
"Overbrook Public Library",180,177,157,131,151,132,150,144,131,146,153,165,437
"Paola Free Library",634,630,593,525,547,501,522,488,474,480,522,556,1789
"Perry-Lecompton Community Library",37,68,19,19,23,17,21,21,15,20,21,24,126
"Pomona Community Library",32,30,26,27,36,20,21,11,25,20,26,24,122
"Prairie Hills Schools - Axtell Public School",,,49,89,112,107,117,98,118,122,114,140,180
"Prairie Hills Schools - Sabetha Elementary School",,,217,325,355,350,357,338,361,363,381,367,420
"Prairie Hills Schools - Sabetha High School",,,9,19,25,76,38,15,11,20,41,43,176
"Prairie Hills Schools - Sabetha Middle School",,,1,87,55,88,113,92,113,99,115,148,176
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,49,71,60,85,60,81,84,72,67,99
"Richmond Public Library",50,52,52,44,49,41,43,38,37,40,38,40,92
"Rossville Community Library",264,258,245,201,245,211,204,190,214,220,206,235,602
"Sabetha, Mary Cotton Library",322,334,331,282,296,281,297,269,284,280,298,329,803
"Seneca Free Library",323,354,330,205,269,244,231,231,229,233,243,313,786
"Silver Lake Library",184,219,195,181,199,188,186,176,191,198,212,224,449
"Tonganoxie Public Library",631,706,682,505,588,532,580,480,473,500,499,595,1914
"Valley Falls, Delaware Township Library",82,92,81,72,71,64,73,62,67,73,77,82,250
"Wellsville City Library",212,225,233,176,192,182,166,184,169,208,183,200,535
"Wetmore Public Library",45,46,50,36,34,26,27,28,23,33,35,33,104
"Williamsburg Community Library",55,62,68,59,62,56,53,34,50,35,37,42,212
"Winchester Public Library",76,90,71,58,31,34,52,36,46,50,52,55,203
