branchname,"ITEM TYPE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Baldwin City Public Library","Book (local requests only)",,,,,,,,,,,,
"Baldwin City Public Library","Book (new)",1,,,1,,,,,,,,
"Baldwin City Public Library","Book (no requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Book club set",1,1,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Laptop computer",20,20,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Launchpad tablet",1,,,1,,,,,1,,,
"Baldwin City Public Library","Computers and internet : Public computer",9,9,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Software",,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Baldwin City Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Baldwin City Public Library","E-content : Digital content",,,,,,,,,,,,
"Baldwin City Public Library","E-content : E-learning course",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan",1,,,1,,,,,10,2,,
"Baldwin City Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Baldwin City Public Library",Key,2,2,,,,,,,,,,
"Baldwin City Public Library","Kit or multi-part set",15,9,,6,,,,,11,,,
"Baldwin City Public Library",MAGAZINE,57,51,3,3,9,8,,1,7,,,
"Baldwin City Public Library","Magazine (new)",,,,,,,,,,,,
"Baldwin City Public Library",Music,5,5,,,,,,,,,,
"Baldwin City Public Library",Pamphlet,78,78,,,,,,,,,,
"Baldwin City Public Library","Reference material",304,304,,,,,,,,,,
"Baldwin City Public Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Baldwin City Public Library",Room,,,,,,,,,,,,
"Baldwin City Public Library","Special collections (local requests only)",57,26,5,26,,,,,,,,
"Baldwin City Public Library","Special collections (no requests allowed)",25,25,,,,,,,,,,
"Baldwin City Public Library","Story walk",,,,,,,,,,,,
"Baldwin City Public Library","Things : Artwork",,,,,,,,,,,,
"Baldwin City Public Library","Things : Audio-visual equipment",,,,,,,,,,,,
"Baldwin City Public Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Baldwin City Public Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Baldwin City Public Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Baldwin City Public Library","Things : Cooking equipment",5,5,,,,,,,,,,
"Baldwin City Public Library","Things : Die cut equipment",,,,,,,,,,,,
"Baldwin City Public Library","Things : Equipment",57,51,,6,,,,,,,,
"Baldwin City Public Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Baldwin City Public Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Baldwin City Public Library","Things : Musical insturments and accessories",,,,,,,,,,,,
"Baldwin City Public Library","Things : Recreation and sports",,,,,,,,,,,,
"Baldwin City Public Library","Things : Tools",,,,,,,,,,,,
"Baldwin City Public Library",Video,3035,2291,3,741,36,11,1,24,3,,,1
"Baldwin City Public Library","Video (Local requests only)",,,,,,,,,,,,
"Baldwin City Public Library","Video (New)",,,,,,,,,,,,
"Baldwin City Public Library","Video (No requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Video (Television)",9,9,,,,,,,,,,
"Baldwin City Public Library","Video game",55,52,,3,,,,,,,,
"Basehor Community Library",(Unclassified),,,,,,,,,,,,
"Basehor Community Library",AUDIOBOOK,1998,1389,72,537,9,9,,,3,,,
"Basehor Community Library","AUDIOBOOK (MEDIA PLAYER)",159,67,8,84,,,,,,,,
"Basehor Community Library","Audiobook (new)",,,,,,,,,,,,
"Basehor Community Library",Book,52327,23016,10293,19018,330,129,74,127,400,,,
"Basehor Community Library","Book (local requests only)",,,,,,,,,,,,
"Basehor Community Library","Book (new)",,,,,,,,,,,,
"Basehor Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Basehor Community Library","Book club set",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Launchpad tablet",1,,1,,,,,,,,,
"Basehor Community Library","Computers and internet : Public computer",1,1,,,,,,,,,,
"Basehor Community Library","Computers and internet : Software",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Basehor Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",4,4,,,,,,,,,,
"Basehor Community Library","E-content : Digital content",,,,,,,,,,,,
"Basehor Community Library","E-content : E-learning course",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan",12,11,,1,3,3,,,27,9,,
"Basehor Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Basehor Community Library",Key,,,,,,,,,,,,
"Basehor Community Library","Kit or multi-part set",1,,,1,,,,,,,,
"Basehor Community Library",MAGAZINE,937,690,61,186,44,34,3,7,1,,,
"Basehor Community Library","Magazine (new)",,,,,,,,,,,,
"Basehor Community Library",Music,99,,,99,,,,,,,,
"Basehor Community Library",Pamphlet,,,,,,,,,,,,
"Basehor Community Library","Reference material",8,8,,,,,,,,,,
"Basehor Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Basehor Community Library",Room,,,,,,,,,,,,
"Basehor Community Library","Special collections (local requests only)",48,31,1,16,,,,,,,,
"Basehor Community Library","Special collections (no requests allowed)",6,2,,4,,,,,1,,,
"Basehor Community Library","Story walk",,,,,,,,,,,,
"Basehor Community Library","Things : Artwork",,,,,,,,,,,,
"Basehor Community Library","Things : Audio-visual equipment",,,,,,,,,,,,
"Basehor Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Basehor Community Library","Things : Board games, dolls, puzzles, and toys",2,2,,,,,,,,,,
"Basehor Community Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Basehor Community Library","Things : Cooking equipment",,,,,,,,,,,,
"Basehor Community Library","Things : Die cut equipment",,,,,,,,,,,,
"Basehor Community Library","Things : Equipment",1,1,,,,,,,,,,
"Basehor Community Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Basehor Community Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Basehor Community Library","Things : Musical insturments and accessories",,,,,,,,,,,,
"Basehor Community Library","Things : Recreation and sports",,,,,,,,,,,,
"Basehor Community Library","Things : Tools",,,,,,,,,,,,
"Basehor Community Library",Video,7655,6712,43,900,28,28,,,10,,,
"Basehor Community Library","Video (Local requests only)",,,,,,,,,,,,
"Basehor Community Library","Video (New)",,,,,,,,,,,,
"Basehor Community Library","Video (No requests allowed)",,,,,,,,,,,,
"Basehor Community Library","Video (Television)",217,202,10,5,1,1,,,1,,,
"Basehor Community Library","Video game",309,6,112,191,12,,1,11,,,,
"Bern Community Library",(Unclassified),2,2,,,,,,,,,,
"Bern Community Library",AUDIOBOOK,509,491,1,17,,,,,,,,
"Bern Community Library","AUDIOBOOK (MEDIA PLAYER)",3,,1,2,,,,,,,,
"Bern Community Library","Audiobook (new)",1,1,,,,,,,,,,
"Bern Community Library",Book,10453,5670,505,4278,5,5,,,32,,,
"Bern Community Library","Book (local requests only)",,,,,,,,,,,,
"Bern Community Library","Book (new)",1,,,1,,,,,,,,
"Bern Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Bern Community Library","Book club set",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Public computer",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Software",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Bern Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Bern Community Library","E-content : Digital content",,,,,,,,,,,,
"Bern Community Library","E-content : E-learning course",,,,,,,,,,,,
"Bern Community Library","Inter-library loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Bern Community Library",Key,,,,,,,,,,,,
"Bern Community Library","Kit or multi-part set",,,,,,,,,,,,
"Bern Community Library",MAGAZINE,,,,,,,,,,,,
"Bern Community Library","Magazine (new)",,,,,,,,,,,,
"Bern Community Library",Music,299,299,,,,,,,,,,
"Bern Community Library",Pamphlet,,,,,,,,,,,,
"Bern Community Library","Reference material",81,81,,,,,,,,,,
"Bern Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Bern Community Library",Room,,,,,,,,,,,,
"Bern Community Library","Special collections (local requests only)",,,,,,,,,,,,
"Bern Community Library","Special collections (no requests allowed)",,,,,,,,,,,,
"Bern Community Library","Story walk",,,,,,,,,,,,
"Bern Community Library","Things : Artwork",,,,,,,,,,,,
"Bern Community Library","Things : Audio-visual equipment",,,,,,,,,,,,
"Bern Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Bern Community Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Bern Community Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Bern Community Library","Things : Cooking equipment",,,,,,,,,,,,
"Bern Community Library","Things : Die cut equipment",,,,,,,,,,,,
"Bern Community Library","Things : Equipment",,,,,,,,,,,,
"Bern Community Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Bern Community Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Bern Community Library","Things : Musical insturments and accessories",,,,,,,,,,,,
"Bern Community Library","Things : Recreation and sports",,,,,,,,,,,,
"Bern Community Library","Things : Tools",,,,,,,,,,,,
"Bern Community Library",Video,1325,1186,1,138,,,,,,,,
"Bern Community Library","Video (Local requests only)",,,,,,,,,,,,
"Bern Community Library","Video (New)",7,4,,3,,,,,,,,
"Bern Community Library","Video (No requests allowed)",,,,,,,,,,,,
"Bern Community Library","Video (Television)",3,3,,,,,,,,,,
"Bern Community Library","Video game",,,,,,,,,,,,
"Bonner Springs City Library",(Unclassified),,,,,,,,,,,,
"Bonner Springs City Library",AUDIOBOOK,2092,1928,79,85,,,,,,,,
"Bonner Springs City Library","AUDIOBOOK (MEDIA PLAYER)",1,1,,,,,,,,,,
"Bonner Springs City Library","Audiobook (new)",76,76,,,8,8,,,,,,
"Bonner Springs City Library",Book,48261,25050,5325,17886,51,36,2,13,233,,,
"Bonner Springs City Library","Book (local requests only)",,,,,,,,,,,,
"Bonner Springs City Library","Book (new)",1337,670,174,493,191,149,16,26,1,,,
"Bonner Springs City Library","Book (no requests allowed)",,,,,,,,,,,,
"Bonner Springs City Library","Book club set",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Public computer",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Software",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Bonner Springs City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",2,2,,,,,,,,,,
"Bonner Springs City Library","E-content : Digital content",,,,,,,,,,,,
"Bonner Springs City Library","E-content : E-learning course",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan",72,70,,2,42,40,,2,42,14,,
"Bonner Springs City Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Bonner Springs City Library",Key,,,,,,,,,,,,
"Bonner Springs City Library","Kit or multi-part set",88,12,1,75,,,,,,,,
"Bonner Springs City Library",MAGAZINE,842,692,,150,72,63,,9,493,1,,
"Bonner Springs City Library","Magazine (new)",,,,,,,,,,,,
"Bonner Springs City Library",Music,1147,1011,,136,6,6,,,3,,,
"Bonner Springs City Library",Pamphlet,,,,,,,,,,,,
"Bonner Springs City Library","Reference material",399,376,,23,,,,,,,,
"Bonner Springs City Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Bonner Springs City Library",Room,,,,,,,,,,,,
"Bonner Springs City Library","Special collections (local requests only)",5,1,,4,,,,,,,,
"Bonner Springs City Library","Special collections (no requests allowed)",18,6,8,4,,,,,,,,
"Bonner Springs City Library","Story walk",,,,,,,,,,,,
"Bonner Springs City Library","Things : Artwork",,,,,,,,,,,,
"Bonner Springs City Library","Things : Audio-visual equipment",,,,,,,,,,,,
"Bonner Springs City Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Bonner Springs City Library","Things : Board games, dolls, puzzles, and toys",20,20,,,,,,,,,,
"Bonner Springs City Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Bonner Springs City Library","Things : Cooking equipment",,,,,,,,,,,,
"Bonner Springs City Library","Things : Die cut equipment",,,,,,,,,,,,
"Bonner Springs City Library","Things : Equipment",9,9,,,,,,,,,,
"Bonner Springs City Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Bonner Springs City Library","Things : Museum pass / event pass",4,4,,,,,,,,,,
"Bonner Springs City Library","Things : Musical insturments and accessories",,,,,,,,,,,,
"Bonner Springs City Library","Things : Recreation and sports",21,20,1,,,,,,,,,
"Bonner Springs City Library","Things : Tools",,,,,,,,,,,,
"Bonner Springs City Library",Video,4586,3537,,1049,24,23,,1,30,,,
"Bonner Springs City Library","Video (Local requests only)",,,,,,,,,,,,
"Bonner Springs City Library","Video (New)",1,1,,,,,,,,,,
"Bonner Springs City Library","Video (No requests allowed)",,,,,,,,,,,,
"Bonner Springs City Library","Video (Television)",809,738,,71,6,6,,,1,,,
"Bonner Springs City Library","Video game",184,28,4,152,2,1,,1,,,,
"Burlingame Community Library",(Unclassified),,,,,,,,,,,,
"Burlingame Community Library",AUDIOBOOK,611,580,,31,,,,,,,,
"Burlingame Community Library","AUDIOBOOK (MEDIA PLAYER)",9,9,,,,,,,,,,
"Burlingame Community Library","Audiobook (new)",1,1,,,,,,,,,,
"Burlingame Community Library",Book,9154,5326,269,3559,45,11,,34,4,,,
"Burlingame Community Library","Book (local requests only)",,,,,,,,,,,,
"Burlingame Community Library","Book (new)",3,1,,2,,,,,,,,
"Burlingame Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Burlingame Community Library","Book club set",,,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Laptop computer",19,19,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Public computer",10,10,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Software",,,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",18,17,,1,,,,,,,,
"Burlingame Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",35,35,,,,,,,,,,
"Burlingame Community Library","E-content : Digital content",,,,,,,,,,,,
"Burlingame Community Library","E-content : E-learning course",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan",25,23,,2,1,1,,,,,,
"Burlingame Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Burlingame Community Library",Key,,,,,,,,,,,,
"Burlingame Community Library","Kit or multi-part set",13,10,,3,,,,,,,,
"Burlingame Community Library",MAGAZINE,,,,,,,,,,,,
"Burlingame Community Library","Magazine (new)",,,,,,,,,,,,
"Burlingame Community Library",Music,101,101,,,,,,,,,,
"Burlingame Community Library",Pamphlet,,,,,,,,,,,,
"Burlingame Community Library","Reference material",,,,,,,,,,,,
"Burlingame Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Burlingame Community Library",Room,,,,,,,,,,,,
"Burlingame Community Library","Special collections (local requests only)",38,30,,8,,,,,,,,
"Burlingame Community Library","Special collections (no requests allowed)",3,,,3,,,,,,,,
"Burlingame Community Library","Story walk",,,,,,,,,,,,
"Burlingame Community Library","Things : Artwork",,,,,,,,,,,,
"Burlingame Community Library","Things : Audio-visual equipment",,,,,,,,,,,,
"Burlingame Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Burlingame Community Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Burlingame Community Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Burlingame Community Library","Things : Cooking equipment",,,,,,,,,,,,
"Burlingame Community Library","Things : Die cut equipment",,,,,,,,,,,,
"Burlingame Community Library","Things : Equipment",,,,,,,,,,,,
"Burlingame Community Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Burlingame Community Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Burlingame Community Library","Things : Musical insturments and accessories",,,,,,,,,,,,
"Burlingame Community Library","Things : Recreation and sports",1,1,,,,,,,,,,
"Burlingame Community Library","Things : Tools",1,1,,,,,,,,,,
"Burlingame Community Library",Video,3099,2519,,580,5,5,,,1,,,
"Burlingame Community Library","Video (Local requests only)",,,,,,,,,,,,
"Burlingame Community Library","Video (New)",1,,,1,,,,,,,,
"Burlingame Community Library","Video (No requests allowed)",,,,,,,,,,,,
"Burlingame Community Library","Video (Television)",13,13,,,,,,,,,,
"Burlingame Community Library","Video game",108,99,6,3,,,,,,,,
"Carbondale City Library",(Unclassified),,,,,,,,,,,,
"Carbondale City Library",AUDIOBOOK,2,,,2,,,,,4,,,
"Carbondale City Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Carbondale City Library","Audiobook (new)",,,,,,,,,,,,
"Carbondale City Library",Book,7668,4613,1161,1894,105,59,17,29,592,1,,
"Carbondale City Library","Book (local requests only)",,,,,,,,,,,,
"Carbondale City Library","Book (new)",1,,,1,,,,,,,,
"Carbondale City Library","Book (no requests allowed)",,,,,,,,,,,,
"Carbondale City Library","Book club set",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Laptop computer",2,2,,,,,,,,,,
"Carbondale City Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Public computer",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Software",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Tablets, e-readers, and personal computing devices",2,2,,,,,,,,,,
"Carbondale City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",2,2,,,,,,,,,,
"Carbondale City Library","E-content : Digital content",,,,,,,,,,,,
"Carbondale City Library","E-content : E-learning course",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Carbondale City Library",Key,,,,,,,,,,,,
"Carbondale City Library","Kit or multi-part set",,,,,,,,,,,,
"Carbondale City Library",MAGAZINE,,,,,,,,,,,,
"Carbondale City Library","Magazine (new)",,,,,,,,,,,,
"Carbondale City Library",Music,,,,,,,,,,,,
"Carbondale City Library",Pamphlet,,,,,,,,,,,,
"Carbondale City Library","Reference material",,,,,,,,,,,,
"Carbondale City Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Carbondale City Library",Room,,,,,,,,,,,,
"Carbondale City Library","Special collections (local requests only)",62,60,,2,,,,,8,,,
"Carbondale City Library","Special collections (no requests allowed)",,,,,,,,,,,,
"Carbondale City Library","Story walk",,,,,,,,,,,,
"Carbondale City Library","Things : Artwork",,,,,,,,,,,,
"Carbondale City Library","Things : Audio-visual equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Carbondale City Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Carbondale City Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Carbondale City Library","Things : Cooking equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Die cut equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Kansas Parks Pass",,,,,,,,,1,,,
"Carbondale City Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Carbondale City Library","Things : Musical insturments and accessories",,,,,,,,,,,,
"Carbondale City Library","Things : Recreation and sports",,,,,,,,,,,,
"Carbondale City Library","Things : Tools",,,,,,,,,,,,
"Carbondale City Library",Video,2297,1929,6,362,6,6,,,17,,,
"Carbondale City Library","Video (Local requests only)",,,,,,,,,,,,
"Carbondale City Library","Video (New)",3,3,,,,,,,,,,
"Carbondale City Library","Video (No requests allowed)",,,,,,,,,,,,
"Carbondale City Library","Video (Television)",6,6,,,,,,,,,,
"Carbondale City Library","Video game",26,1,23,2,,,,,,,,
"Centralia Community Library",(Unclassified),,,,,,,,,1,,,
"Centralia Community Library",AUDIOBOOK,321,290,9,22,,,,,,,,
"Centralia Community Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Centralia Community Library","Audiobook (new)",,,,,,,,,,,,
"Centralia Community Library",Book,7320,4460,529,2331,58,23,8,27,13,,,
"Centralia Community Library","Book (local requests only)",,,,,,,,,,,,
"Centralia Community Library","Book (new)",,,,,,,,,,,,
"Centralia Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Centralia Community Library","Book club set",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Public computer",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Software",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Centralia Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Centralia Community Library","E-content : Digital content",,,,,,,,,,,,
"Centralia Community Library","E-content : E-learning course",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
