CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Baldwin City Public Library","Things : Artwork",0,0,0,0,0
"Baldwin City Public Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Baldwin City Public Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Baldwin City Public Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Baldwin City Public Library","Things : Cooking equipment",0,0,0,0,0
"Baldwin City Public Library","Things : Die cut equipment",0,0,0,0,0
"Baldwin City Public Library","Things : Equipment",5,5,0,0,0
"Baldwin City Public Library","Things : Kansas Parks Pass",0,0,0,0,0
"Baldwin City Public Library","Things : Museum pass / event pass",0,0,0,0,0
"Baldwin City Public Library","Things : Recreation and sports",0,0,0,0,0
"Baldwin City Public Library","Things : Tools",0,0,0,0,0
"Baldwin City Public Library",Video,387,286,0,101,0
"Baldwin City Public Library","Video (Local requests only)",0,0,0,0,0
"Baldwin City Public Library","Video (New)",2,0,0,2,0
"Baldwin City Public Library","Video (No requests allowed)",0,0,0,0,0
"Baldwin City Public Library","Video (Television)",10,7,0,3,0
"Baldwin City Public Library","Video game",3,2,0,1,0
"Basehor Community Library",(Unclassified),0,0,0,0,0
"Basehor Community Library",AUDIOBOOK,281,143,3,135,0
"Basehor Community Library","AUDIOBOOK (MEDIA PLAYER)",78,21,0,57,0
"Basehor Community Library","Audiobook (new)",3,3,0,0,0
"Basehor Community Library",Book,6965,2069,879,4015,2
"Basehor Community Library","Book (local requests only)",0,0,0,0,0
"Basehor Community Library","Book (new)",63,52,3,8,0
"Basehor Community Library","Book (no requests allowed)",0,0,0,0,0
"Basehor Community Library","Book club set",0,0,0,0,0
"Basehor Community Library","Computers and internet : Laptop computer",0,0,0,0,0
"Basehor Community Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Basehor Community Library","Computers and internet : Public computer",0,0,0,0,0
"Basehor Community Library","Computers and internet : Software",0,0,0,0,0
"Basehor Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Basehor Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",2,2,0,0,0
"Basehor Community Library","E-content : Digital content",0,0,0,0,0
"Basehor Community Library","E-content : E-learning course",0,0,0,0,0
"Basehor Community Library","Inter-library loan",18,16,1,1,0
"Basehor Community Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Basehor Community Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Basehor Community Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Basehor Community Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Basehor Community Library",Key,0,0,0,0,0
"Basehor Community Library","Kit or multi-part set",0,0,0,0,0
"Basehor Community Library",MAGAZINE,81,32,0,49,0
"Basehor Community Library","Magazine (new)",0,0,0,0,0
"Basehor Community Library",Music,22,18,0,4,0
"Basehor Community Library",Pamphlet,0,0,0,0,0
"Basehor Community Library","Reference material",0,0,0,0,0
"Basehor Community Library","Reserve desk : Highland Community College",0,0,0,0,0
"Basehor Community Library",Room,0,0,0,0,0
"Basehor Community Library","Special collections (local requests only)",14,8,1,5,0
"Basehor Community Library","Special collections (no requests allowed)",1,0,0,1,0
"Basehor Community Library","Story walk",1,0,0,1,0
"Basehor Community Library","Things : Artwork",0,0,0,0,0
"Basehor Community Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Basehor Community Library","Things : Board games, dolls, puzzles, and toys",0,0,0,0,0
"Basehor Community Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Basehor Community Library","Things : Cooking equipment",0,0,0,0,0
"Basehor Community Library","Things : Die cut equipment",0,0,0,0,0
"Basehor Community Library","Things : Equipment",0,0,0,0,0
"Basehor Community Library","Things : Kansas Parks Pass",0,0,0,0,0
"Basehor Community Library","Things : Museum pass / event pass",0,0,0,0,0
"Basehor Community Library","Things : Recreation and sports",0,0,0,0,0
"Basehor Community Library","Things : Tools",0,0,0,0,0
"Basehor Community Library",Video,1230,1027,0,203,0
"Basehor Community Library","Video (Local requests only)",0,0,0,0,0
"Basehor Community Library","Video (New)",1,1,0,0,0
"Basehor Community Library","Video (No requests allowed)",0,0,0,0,0
"Basehor Community Library","Video (Television)",48,42,0,3,3
"Basehor Community Library","Video game",151,11,31,108,1
"Bern Community Library",(Unclassified),0,0,0,0,0
"Bern Community Library",AUDIOBOOK,21,21,0,0,0
"Bern Community Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Bern Community Library","Audiobook (new)",1,1,0,0,0
"Bern Community Library",Book,73,25,5,43,0
"Bern Community Library","Book (local requests only)",0,0,0,0,0
"Bern Community Library","Book (new)",0,0,0,0,0
"Bern Community Library","Book (no requests allowed)",0,0,0,0,0
"Bern Community Library","Book club set",0,0,0,0,0
"Bern Community Library","Computers and internet : Laptop computer",0,0,0,0,0
"Bern Community Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Bern Community Library","Computers and internet : Public computer",0,0,0,0,0
"Bern Community Library","Computers and internet : Software",0,0,0,0,0
"Bern Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Bern Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Bern Community Library","E-content : Digital content",0,0,0,0,0
"Bern Community Library","E-content : E-learning course",0,0,0,0,0
"Bern Community Library","Inter-library loan",0,0,0,0,0
"Bern Community Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Bern Community Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Bern Community Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Bern Community Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Bern Community Library",Key,0,0,0,0,0
"Bern Community Library","Kit or multi-part set",0,0,0,0,0
"Bern Community Library",MAGAZINE,0,0,0,0,0
"Bern Community Library","Magazine (new)",0,0,0,0,0
